accx,accy,accz
0.0387,0.2337,0.9212
0.0348,0.2371,0.9178
0.0343,0.2454,0.9153
0.0353,0.2542,0.9031
0.0372,0.2572,0.8909
0.0436,0.2596,0.8802
0.0455,0.2611,0.8703
0.0538,0.2625,0.8645
0.0626,0.2586,0.8591
0.066,0.2572,0.865
0.0724,0.2552,0.8615
0.0787,0.2503,0.8708
0.0817,0.2494,0.8723
0.0944,0.2494,0.8855
0.0934,0.242,0.8889
0.1002,0.2435,0.8929
0.1017,0.242,0.8972
0.1012,0.2435,0.9046
0.1071,0.244,0.9148
0.1041,0.2401,0.9222
0.1017,0.242,0.9197
0.1086,0.245,0.9178
0.1071,0.245,0.9182
0.1051,0.2508,0.9114
0.1012,0.2591,0.9065
0.1012,0.2645,0.9036
0.1027,0.2664,0.9007
0.0963,0.2718,0.8948
0.0875,0.2718,0.8904
0.0768,0.2738,0.8855
0.069,0.2801,0.8816
0.0607,0.283,0.8811
0.048,0.2933,0.8836
0.0353,0.2957,0.8875
0.027,0.2982,0.8929
0.026,0.3026,0.8933
0.0245,0.2987,0.9012
0.0211,0.2972,0.906
0.0284,0.2972,0.9129
0.0284,0.2943,0.9158
0.0314,0.286,0.9226
0.0392,0.2826,0.9261
0.0465,0.2713,0.9373
0.0573,0.2611,0.9466
0.0646,0.2552,0.9495
0.07,0.2508,0.9495
0.0783,0.2469,0.9495
0.0836,0.245,0.9475
0.0919,0.2464,0.9475
0.0993,0.2469,0.9407
0.1002,0.2489,0.9363
0.1007,0.2518,0.9329
0.1086,0.2572,0.927
0.1096,0.2674,0.9226
0.1081,0.2723,0.9231
0.1056,0.283,0.9226
0.1012,0.2879,0.9173
0.0939,0.2948,0.9104
0.0914,0.2977,0.906
0.0875,0.2957,0.9075
0.0807,0.2992,0.906
0.0739,0.304,0.9016
0.0724,0.3094,0.8997
0.0587,0.3158,0.8948
0.0543,0.3211,0.8919
0.045,0.325,0.8899
0.0411,0.3265,0.8865
0.0431,0.3338,0.885
0.0402,0.3294,0.8889
0.0392,0.3285,0.8865
0.0411,0.3241,0.8997
0.0475,0.3167,0.9051
0.0509,0.3114,0.909
0.0524,0.3021,0.9114
0.0626,0.2928,0.928
0.0656,0.2845,0.93
0.0719,0.2757,0.9485
0.0768,0.2733,0.9558
0.0851,0.2684,0.971
0.0905,0.2625,0.9754
0.1012,0.2562,0.994
0.1135,0.2484,1.0008
0.1164,0.2474,1.0077
0.1228,0.245,1.0116
0.134,0.2425,1.0213
0.1359,0.2411,1.0169
0.1428,0.2425,1.0243
0.1423,0.2459,1.0248
0.1389,0.2557,1.0296
0.1369,0.2601,1.0287
0.1247,0.2747,1.0243
0.1159,0.2967,1.0209
0.1007,0.3153,1.0189
0.09,0.3202,1.016
0.0714,0.3426,0.9925
0.0582,0.3578,0.9823
0.0363,0.3627,0.969
0.0333,0.3651,0.9646
0.0226,0.3681,0.9568
0.0138,0.3651,0.9568
0.0065,0.3612,0.9637
0.0021,0.3578,0.9685
0.0001,0.3554,0.9729
-0.0058,0.3412,0.9867
-0.0048,0.3172,1.0018
-0.0053,0.3036,1.0199
0.0006,0.2879,1.0321
0.007,0.2684,1.0453
0.0133,0.2577,1.0511
0.0192,0.2479,1.0677
0.026,0.2401,1.0716
0.0358,0.2259,1.077
0.0387,0.2215,1.0765
0.048,0.2185,1.0785
0.0485,0.2161,1.076
0.0524,0.2058,1.0707
0.0538,0.2132,1.0648
0.0538,0.2254,1.0663
0.0514,0.2322,1.0604
0.0436,0.2474,1.0526
0.0372,0.2503,1.0511
0.0241,0.2606,1.0423
0.0167,0.266,1.0336
0.0074,0.2699,1.0243
-0.0073,0.2767,1.013
-0.0151,0.2782,1.0082
-0.0229,0.2796,0.9994
-0.0273,0.285,1.0008
-0.04,0.2757,0.9955
-0.0488,0.2708,0.9969
-0.0483,0.2601,0.9969
-0.0473,0.2616,0.994
-0.0468,0.2469,0.9964
-0.0414,0.2396,0.9916
-0.0351,0.2327,0.9916
-0.0297,0.2278,0.9925
-0.0185,0.2249,0.9857
-0.0136,0.22,0.9842
-0.0087,0.218,0.9764
-0.0063,0.2132,0.9754
-0.0034,0.2171,0.9705
-0.0004,0.219,0.9622
0.004,0.2234,0.9519
0.0074,0.2317,0.9417
0.0055,0.2371,0.9388
0.0079,0.2415,0.9314
0.0031,0.2479,0.9226
-0.0029,0.2489,0.9187
-0.0078,0.2557,0.9124
-0.0131,0.2586,0.9075
-0.0161,0.2591,0.906
-0.0185,0.2611,0.9012
-0.0248,0.264,0.8992
-0.0307,0.2621,0.8909
-0.0366,0.2635,0.887
-0.0439,0.2601,0.8797
-0.0497,0.2625,0.8777
-0.0468,0.2635,0.8689
-0.0444,0.2547,0.8654
-0.0458,0.2542,0.865
-0.0351,0.2489,0.8664
-0.0312,0.2469,0.8674
-0.0248,0.2445,0.8733
-0.0204,0.2406,0.8777
-0.0126,0.2366,0.8777
-0.0058,0.2342,0.8875
-0.0024,0.2346,0.888
0.0055,0.2302,0.8948
0.004,0.2298,0.8963
0.0055,0.2312,0.8948
0.0084,0.2293,0.9007
0.0035,0.2327,0.9075
0.0006,0.2298,0.9095
0.0016,0.2273,0.9231
0.0011,0.2254,0.9314
-0.0073,0.2219,0.9422
-0.0097,0.2263,0.9607
-0.0126,0.2268,0.9681
-0.0151,0.2278,0.9891
-0.017,0.2317,0.9901
-0.02,0.2312,0.9969
-0.02,0.2317,1.0033
-0.0224,0.2346,1.0116
-0.02,0.2322,1.0135
-0.0209,0.2322,1.0121
-0.0175,0.2351,0.9964
-0.0126,0.2381,0.9911
-0.0073,0.2391,0.9705
-0.0019,0.2425,0.9422
0.005,0.245,0.9295
0.0089,0.2479,0.9095
0.0172,0.2523,0.888
0.0162,0.2581,0.8718
0.0182,0.2606,0.8674
0.0167,0.2669,0.8635
0.0182,0.2674,0.8537
0.0153,0.283,0.8586
0.0192,0.286,0.8567
0.0123,0.2899,0.8625
0.0148,0.2899,0.8615
0.0148,0.2918,0.8684
0.0123,0.2962,0.8708
0.0104,0.2957,0.8762
0.0099,0.2884,0.8875
0.0128,0.2894,0.8865
0.0079,0.285,0.8875
0.0045,0.2889,0.8894
0.0055,0.284,0.8987
0.0084,0.2884,0.9021
0.004,0.2874,0.907
0.004,0.2835,0.9143
0.0006,0.285,0.9158
0.0021,0.2845,0.9236
0.0001,0.286,0.9222
-0.0004,0.2835,0.9241
-0.0009,0.2811,0.9178
-0.0029,0.2816,0.9134
-0.0034,0.2865,0.9236
-0.0004,0.2879,0.9217
0.0001,0.2855,0.9197
0.0026,0.2918,0.9226
0.0035,0.2914,0.9251
0.0045,0.2904,0.927
0.0104,0.2899,0.9226
0.0128,0.2914,0.928
0.0143,0.2938,0.9305
0.0162,0.2957,0.927
0.0182,0.2914,0.9295
0.0182,0.2962,0.93
0.0182,0.2953,0.9339
0.0172,0.2997,0.9378
0.0148,0.3011,0.9378
0.0143,0.3011,0.9402
0.0084,0.3094,0.9456
0.0084,0.3094,0.9505
0.0021,0.3119,0.9558
-0.0019,0.3177,0.9554
-0.0038,0.3153,0.9554
-0.0063,0.3192,0.9578
-0.0121,0.3202,0.9588
-0.0136,0.3231,0.9544
-0.0097,0.327,0.9451
-0.0107,0.3299,0.9407
-0.0082,0.328,0.93
-0.0092,0.3324,0.9231
-0.0107,0.3343,0.9222
-0.0087,0.3353,0.9158
-0.0087,0.3382,0.9119
-0.0102,0.3348,0.9143
-0.0063,0.3377,0.9217
-0.0087,0.3387,0.93
-0.0087,0.3314,0.9427
-0.0107,0.329,0.9524
-0.0107,0.3226,0.9681
-0.0092,0.3192,0.972
-0.0097,0.3109,0.9754
-0.0082,0.3089,0.9808
0.0026,0.3084,0.9876
0.0026,0.304,0.994
0.0021,0.3021,1.0003
0.0011,0.2987,1.0023
-0.0034,0.3006,1.0116
0.0011,0.2987,1.0145
-0.0063,0.2957,1.016
-0.0102,0.2982,1.0218
-0.0136,0.2992,1.0238
-0.0165,0.2992,1.0296
-0.0204,0.2987,1.0301
-0.0248,0.2967,1.0375
-0.0248,0.2967,1.035
-0.0258,0.2928,1.0448
-0.0234,0.2957,1.0506
-0.0209,0.2948,1.0531
-0.0126,0.2967,1.057
-0.0048,0.307,1.0555
-0.0029,0.3089,1.055
0.0011,0.3128,1.0565
0.0045,0.3148,1.0467
0.0045,0.3114,1.0438
0.0084,0.3055,1.0355
0.0099,0.3075,1.0292
0.0192,0.3016,1.0306
0.0255,0.3006,1.0301
0.0236,0.2977,1.0311
0.026,0.2889,1.0345
0.0289,0.2816,1.0428
0.0314,0.2738,1.0492
0.0299,0.265,1.0594
0.0367,0.2537,1.0736
0.0372,0.2484,1.0712
0.0392,0.2415,1.0765
0.0465,0.2317,1.0898
0.047,0.2278,1.0843
0.0499,0.2234,1.079
0.0446,0.2219,1.0712
0.0421,0.2229,1.0638
0.0431,0.2342,1.0428
0.0319,0.2459,1.0296
0.0338,0.2513,1.0223
0.0343,0.2552,1.016
0.026,0.2621,0.9935
0.0226,0.2684,0.9823
0.0241,0.2747,0.9734
0.0201,0.284,0.9656
0.0143,0.2938,0.9427
0.0109,0.2938,0.9319
0.007,0.2992,0.9217
0.0035,0.3031,0.9109
-0.0004,0.308,0.9007
-0.0034,0.3089,0.8948
-0.0019,0.308,0.8929
-0.0121,0.3065,0.8938
-0.0151,0.2987,0.8987
-0.0195,0.2889,0.908
-0.018,0.2811,0.9202
-0.019,0.2684,0.929
-0.0141,0.2591,0.9432
-0.0136,0.2435,0.9602
-0.0038,0.2327,0.9759
0.0035,0.2215,0.9867
0.0162,0.2122,0.9969
0.0216,0.2097,0.9984
0.0324,0.1936,1.0023
0.0534,0.1848,0.993
0.0607,0.1809,0.9906
0.0787,0.1668,0.9768
0.0919,0.1677,0.9593
0.0978,0.1648,0.9529
0.1017,0.1648,0.9456
0.1096,0.1697,0.9373
0.1198,0.1697,0.9197
0.1198,0.1721,0.9109
0.1301,0.1824,0.9036
0.1325,0.1873,0.8972
0.1384,0.1883,0.8924
0.1394,0.1912,0.888
0.1418,0.2029,0.886
0.1389,0.2112,0.8841
0.1389,0.2166,0.8816
0.1267,0.22,0.8865
0.1125,0.2234,0.8909
0.1012,0.2244,0.8929
0.0861,0.2234,0.8992
0.0753,0.2259,0.9075
0.0563,0.2288,0.9148
0.047,0.2283,0.9129
0.0421,0.2307,0.9148
0.0377,0.2366,0.9163
0.0284,0.2406,0.9187
0.0294,0.2411,0.9163
0.026,0.2435,0.9158
0.0241,0.245,0.9178
0.0265,0.244,0.9109
0.0221,0.243,0.9104
0.0328,0.2391,0.9085
0.0343,0.2396,0.9085
0.0358,0.2361,0.9119
0.0324,0.2337,0.9134
0.0377,0.2322,0.9114
0.0436,0.2283,0.9129
0.0499,0.2283,0.9178
0.0548,0.2298,0.9139
0.0665,0.2259,0.9178
0.0748,0.2273,0.9207
0.09,0.2239,0.9197
0.1032,0.2219,0.9295
0.1051,0.221,0.9344
0.1041,0.22,0.9368
0.1036,0.2161,0.9466
