accx,accy,accz
-0.0219,0.263,0.8841
-0.0082,0.2464,0.8855
-0.0004,0.2337,0.8914
0.0172,0.2146,0.9012
0.0475,0.1892,0.9036
0.0797,0.1599,0.9153
0.0993,0.1428,0.9265
0.1046,0.1443,0.9275
0.1198,0.1311,0.9432
0.1198,0.1306,0.9446
0.1252,0.1331,0.9578
0.1267,0.1345,0.9676
0.1237,0.1419,0.9715
0.1179,0.1448,0.972
0.1125,0.1502,0.969
0.1051,0.1585,0.9671
0.0958,0.1673,0.9627
0.091,0.1746,0.9583
0.069,0.1961,0.9505
0.0636,0.2097,0.9475
0.0563,0.2219,0.9363
0.0367,0.2513,0.9241
0.0197,0.2679,0.9085
0.0074,0.2826,0.8938
-0.0058,0.2977,0.8758
-0.0209,0.3094,0.861
-0.0244,0.3128,0.8562
-0.0336,0.3207,0.8547
-0.0312,0.3236,0.8503
-0.0302,0.3294,0.8557
-0.0297,0.3207,0.8684
-0.0209,0.3158,0.887
-0.0185,0.3065,0.9041
-0.0068,0.2928,0.9222
0.006,0.2733,0.9373
0.0206,0.2596,0.9436
0.0353,0.2464,0.9539
0.0436,0.244,0.9588
0.0499,0.2346,0.9651
0.0597,0.2278,0.9632
0.0685,0.2249,0.9607
0.0787,0.2219,0.9676
0.0861,0.2195,0.9676
0.0953,0.22,0.9715
0.0968,0.22,0.9637
0.0958,0.2195,0.9612
0.0968,0.2239,0.9568
0.0822,0.2239,0.9539
0.0778,0.2293,0.9471
0.0651,0.2317,0.9432
0.0636,0.2376,0.9417
0.0538,0.2459,0.9407
0.0499,0.2498,0.9412
0.0455,0.2547,0.9397
0.0319,0.265,0.9319
0.0324,0.2679,0.9363
0.0294,0.2787,0.9412
0.026,0.2801,0.9436
0.0245,0.2845,0.9544
0.0255,0.2879,0.9524
0.026,0.2914,0.9578
0.0241,0.2918,0.9759
0.0216,0.2943,0.9803
0.0245,0.2953,0.9867
0.0255,0.2962,0.9881
0.026,0.2879,1.0023
0.0206,0.285,1.0023
0.0148,0.2777,1.0145
0.0094,0.2757,1.0257
0.0031,0.2743,1.0438
-0.0097,0.2694,1.0677
-0.0136,0.2704,1.077
-0.0273,0.264,1.102
-0.0283,0.2591,1.1078
-0.0424,0.2533,1.121
-0.0478,0.2474,1.1293
-0.0537,0.2406,1.1362
-0.0581,0.2356,1.1415
-0.061,0.2244,1.1464
-0.0639,0.2141,1.141
-0.0581,0.2083,1.1401
-0.0537,0.2058,1.1352
-0.0483,0.2049,1.1318
-0.0375,0.2053,1.1259
-0.0336,0.2049,1.1249
-0.0141,0.2112,1.1122
-0.0117,0.2102,1.1098
-0.0063,0.2058,1.1015
-0.0024,0.2019,1.0951
0.0006,0.2009,1.0971
-0.0004,0.2049,1.0966
-0.0058,0.2039,1.1069
-0.0156,0.2068,1.1108
-0.0292,0.2044,1.1332
-0.0449,0.2083,1.164
-0.0507,0.2024,1.1777
-0.0664,0.197,1.2007
-0.0781,0.1926,1.2075
-0.083,0.1912,1.2188
-0.1074,0.1892,1.2256
-0.1211,0.1883,1.2271
-0.1348,0.1834,1.2251
-0.1489,0.1819,1.2153
-0.1519,0.1839,1.2002
-0.1611,0.1863,1.1777
-0.1592,0.179,1.1513
-0.1641,0.1819,1.1318
-0.1611,0.1795,1.12
-0.1611,0.179,1.0991
-0.1607,0.1814,1.0848
-0.1582,0.1804,1.0834
-0.1528,0.1707,1.0624
-0.1582,0.1721,1.057
-0.1582,0.1619,1.0448
-0.1616,0.1585,1.0394
-0.1592,0.1546,1.037
-0.1514,0.1477,1.0272
-0.1504,0.1458,1.0257
